,Schrodinger
2013-11-29,87559.26532804464
2013-12-06,87154.59736826157
2013-12-13,86342.04472802833
2013-12-20,87556.62905501583
2013-12-27,87212.53815929191
2014-01-03,87329.13070223862
2014-01-10,87935.87219864017
2014-01-17,88464.96689628783
2014-01-24,88775.72262193648
2014-01-31,89270.68725852191
2014-02-07,89316.39784193716
2014-02-14,90346.24875256879
2014-02-21,90443.54124687609
2014-02-28,91666.0459450368
2014-03-07,90846.2878922923
2014-03-14,91361.89520250398
2014-03-21,91614.33338855792
2014-03-28,92071.97458431571
2014-04-04,92375.89370969418
2014-04-11,92239.57776911235
2014-04-18,93308.07351559286
2014-04-25,93675.17894461702
2014-05-02,94920.53073324848
2014-05-09,94578.03347505092
2014-05-16,95123.51305893679
2014-05-23,96069.94655077903
2014-05-30,96499.9493962414
2014-06-06,96324.77561557815
2014-06-13,96514.1343361802
2014-06-20,98259.33293635327
2014-06-27,97919.23779558518
2014-07-04,98365.06810070749
2014-07-11,97987.06041314277
2014-07-18,97659.59052366023
2014-07-25,97920.42515000934
2014-08-01,96436.35032788769
2014-08-08,97009.84141692297
2014-08-15,98510.59422998576
2014-08-22,99307.71777257608
2014-08-29,100048.1734122704
2014-09-05,99889.68625029629
2014-09-12,98464.34942395205
2014-09-19,98812.27918628883
2014-09-26,97400.74907413601
2014-10-03,96086.60289474232
2014-10-10,93662.82731904731
2014-10-17,93184.66729601279
2014-10-24,95466.1840029753
2014-10-31,97302.23678741376
2014-11-07,97281.86535101567
2014-11-14,96243.74748211975
2014-11-21,97689.31807627689
2014-11-28,91327.23347332151
2014-12-05,90375.10808499285
2014-12-12,83894.57564221103
2014-12-19,85113.53078353545
2014-12-26,83655.30558693034
2015-01-02,81373.86530825547
2015-01-09,77750.8872308622
2015-01-16,77149.76214508207
2015-01-23,75322.47576569974
2015-01-30,76181.27264095405
2015-02-06,80579.36524458411
2015-02-13,82016.11679944188
2015-02-20,80219.25815326419
2015-02-27,79173.71561689966
2015-03-06,78404.8970460701
2015-03-13,75006.3735074752
2015-03-20,75652.8839773752
2015-03-27,76295.34467485879
2015-04-03,77257.56913501053
2015-04-10,79385.39950046518
2015-04-17,81834.45672801454
2015-04-24,83036.66603698242
2015-05-01,83534.92997325862
2015-05-08,83411.57763084705
2015-05-15,83485.2573478051
2015-05-22,82890.704190966
2015-05-29,82440.86509555
2015-06-05,81082.13149229276
2015-06-12,81219.72795861028
2015-06-19,81766.95334484924
2015-06-26,81068.63624143212
2015-07-03,79711.92891738261
2015-07-10,77845.76914770674
2015-07-17,77353.37638850097
2015-07-24,74687.8192051339
2015-07-31,73937.9826990092
2015-08-07,71457.13122633987
2015-08-14,70683.97920068236
2015-08-21,67163.27331711432
2015-08-28,71025.04447586571
2015-09-04,70149.76414083874
2015-09-11,70141.54178252963
2015-09-18,70293.16127723374
2015-09-25,69768.00932087288
2015-10-02,70399.85270794357
2015-10-09,73638.17068308796
2015-10-16,73688.45539922688
2015-10-23,72885.98803523992
2015-10-30,73649.69936589002
2015-11-06,73203.0357149448
2015-11-13,69619.34244539154
2015-11-20,71517.22992713755
2015-11-27,71419.58682277109
2015-12-04,71345.23509686014
2015-12-11,68470.15875708078
2015-12-18,68779.29823533924
2015-12-25,70536.69687683255
2016-01-01,69661.69183095793
2016-01-08,65346.556281286634
2016-01-15,63576.83619994395
2016-01-22,64417.48301639579
2016-01-29,65564.04694569284
2016-02-05,63674.405111763044
2016-02-12,62377.08896253364
2016-02-19,64642.53342093984
2016-02-26,65618.98569674505
2016-03-04,67792.56307316439
2016-03-11,68891.94467348383
2016-03-18,69885.62895029465
2016-03-25,69349.44581035082
2016-04-01,70468.60044573707
2016-04-08,71688.20687675872
2016-04-15,72651.70792468605
2016-04-22,73531.19644622777
2016-04-29,73129.02437041802
2016-05-06,73363.93007535658
2016-05-13,73042.38723487988
2016-05-20,73251.7924109966
2016-05-27,74883.36552284948
2016-06-03,75087.25603109725
2016-06-10,74999.57179587384
2016-06-17,74413.5449276047
2016-06-24,73323.62091290826
2016-07-01,75768.4868473364
2016-07-08,76377.63431432935
2016-07-15,77121.37188482705
2016-07-22,77482.99633652942
2016-07-29,78678.0513800645
2016-08-05,78647.18526827107
2016-08-12,78654.50149086933
2016-08-19,78636.4451310024
2016-08-26,78103.0935147766
2016-09-02,78187.84031193795
2016-09-09,77149.90729970585
2016-09-16,76785.29532712106
2016-09-23,78587.50317368236
2016-09-30,77885.74283225439
2016-10-07,75755.57112976456
2016-10-14,75873.6015380461
2016-10-21,76302.72806253827
